,index,title,description,img,cleand_title,location,Specialties,Delivery / Pick-up,Halal Status,Less Sweet,IG,Email,Website
12,22,Butter Whisk (Yishun),"Cakes, Cookies & Biscuits, Brownies
Butterwhisk's specialty is its fudgy brownie. Our baked goods are less sweet to accommodate to all ages.Collection methods include delivery (+$8) and self collection at yishun (exact address will be given upon payment and confirmation).order via ig (@butterwhisk.sg)
Less sweetDelivery/Self Pick-upEmail:
butterwhisksg@gmail.comWeb:
https://butterwhisk.cococart.co/IG:
@butterwhisk.sgCarousell: @butterwhisk.sg","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Butter Whisk,Yishun,"Cakes, Cookies & Biscuits, Brownies",Delivery / Self Pick-up,No,Yes,@butterwhisk.sg,butterwhisksg@gmail.com,https://butterwhisk.cococart.co/:
13,24,App Me Kitchen (Woodlands),"Cakes, Traditional Desserts
Welcome to App Me Kitchen 愛蜜厨房！A Singapore-based private kitchen which shares good food with others. Lazy to cook at home? Searching food for parties and gatherings? You found us! Homemade food and desserts with love.🈚️: No added preservatives and no MSG.*Potato Salad / Cheesecake / Tiramisu
Less sweetDelivery/Self Pick-upEmail:
appmekitchen@gmail.comIG:
@appmekitchenFB:
App Me Kitchen","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",App Me Kitchen,Woodlands,"Cakes, Traditional Desserts",Delivery / Self Pick-up,No,Yes,@appmekitchen,appmekitchen@gmail.com,
14,26,Angela Lapis (Lakeside),"Cakes, Pies & Tarts, Festive Baked Goods - Chinese New Year
Specialise in Kueh Lapis and Pineapple Tarts (anytime can order). Delivery and self collection available. WhatsApp Angela @ 96552626 to order.
Less sweetDelivery/Self Pick-upEmail:
pui_gela@hotmail.comIG: @angela.lapis","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Angela Lapis,Lakeside,"Cakes, Pies & Tarts, Festive Baked Goods - Chinese New Year",Delivery / Self Pick-up,No,Yes,@angela.lapis,pui_gela@hotmail.com,
15,27,The Cake Palette (Yishun),"Cakes,
Cupcakes, Cookies & Biscuits, Festive Baked Goods - Christmas, Brownies
The Cake Palette specialises in decorated cupcakes and whole cakes, on top of other offerings like brownies and lava/filled cookies. Every month features a specific menu, with order slots opening up at the beginning of the month. Custom orders, such as whole cakes and customised cupcakes (with specific design requests), need not be in the month's menu but have to be placed at least 2 weeks before the collection date.
No delivery is available as of now - customers can self-collect or arrange their own courier services to collect the baked goods.
All products, FAQ and other information are house on our Instagram page, @the.cakepalette - customers can also send us a DM on Instagram to enquire or place their orders.
Self Pick-upEmail:
 thecakepalette.sg@gmail.comIG:
@the.cakepalette","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",The Cake Palette,Yishun,"Cakes,",Self Pick-up,No,No,@the.cakepalette,thecakepalette.sg@gmail.com,
16,29,Burp.bakes (Harbourfront),"Pastries, Festive Baked Goods (Christmas), Brownies, Pumpkin spice muffins, cake pops, baked quinoa
Burp.bakes- located at harbourfront, contact through email, self pick up at Harbourfront, special arrangement can be made, muffins (organic pumpkin spice muffins) brownies, baked quinoa
Less Sweet OptionSelf Pick-upEmail: Jolyntan93@gmail.comIG:
@Burp.bakes","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Burp.bakes,Harbourfront,"Pastries, Festive Baked Goods (Christmas), Brownies, Pumpkin spice muffins, cake pops, baked quinoa",Self Pick-up,No,Yes,@Burp.bakes,Jolyntan93@gmail.com,
17,30,Batter With Us (Clementi),"Cakes
We are part-time home bakers who started out making desserts to satisfy our dessert cravings while working from home and thought why not share this happiness with others as well.We make Basque x New York Cheesecakes and Tiramisus on alternate weeks. Orders are taken from Sunday to Thursday, and our treats are freshly made and available for delivery/self-collection on Saturday.Our cakes contain dairy and eggs and are vegetarian friendly. Alcohol for tiramisu is optional.Place your orders via the link in our IG bio! 😊
Delivery/Self Pick-upEmail: batterwithus@gmail.comIG:
@batterwithus","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Batter With Us,Clementi,Cakes,Delivery / Self Pick-up,No,No,@batterwithus,batterwithus@gmail.com,
18,31,TheTBakes.sg (Woodlands),"Cakes, Birthday Cakes, Cookies & Biscuits, Pies & Tarts, Festive Baked Goods (Ramadan,
Chinese New Year, Christmas and more), Brownies, Traditional Desserts
VeganHalalDelivery at $10.00 ( exc Tuas/Sentosa ) / Self Pick-upEmail:
thetbakessg@gmail.comIG: @Thetbakes.sgFB: Thetbakes SG","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",TheTBakes.sg,Woodlands,"Cakes, Birthday Cakes, Cookies & Biscuits, Pies & Tarts, Festive Baked Goods (Ramadan,",Delivery / Self Pick-up,No,No,@Thetbakes.sg,thetbakessg@gmail.com,
19,33,Mix & Max Kitchen (Marymount & Upper Thomson MRTs),"Cookies & Biscuits, Festive Baked Goods (Chinese New Year

Christmas and more),
Brownies, Donuts, Biscuits, Granola
MIX & MAX: Isobel, Terence & Max Home Kitchen @Longhaus
Named after our ginger cat Max, we’ll be bringing to you all sorts of delicious goodies inspired by the comfort food we had as kids. Made with love and a pinch of cheekiness, we are excited to bring our kitchen to yours.
Granola, Cookies, Donuts, Muffins, and more! Menu changes monthly with some seasonal specials!
Follow our IG for the latest updates.
Self Pick-upEmail:
itbchang@gmail.comIG:
@mixandmaxkitchenCarousell:
@mixandmaxkitchen","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Mix & Max Kitchen,Marymount & Upper Thomson MRTs,"Cookies & Biscuits, Festive Baked Goods (Chinese New Year",Self Pick-up,No,No,@mixandmaxkitchen,itbchang@gmail.com,
20,34,sarahteoxbakes (Bedok),"Cookies & Biscuits
Cookies come in boxes of 6 or 9, mix and match of flavours allowed. Bake sale only on weekends, pickup and delivery available! Pickup will be at Bedok Reservoir Mrt.
Delivery/Self Pick-upWebsite:
https://sarahteoxbakes.cococart.co/Email: sarahtyp@hotmail.comIG:
@sarahteoxbakes","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",sarahteoxbakes,Bedok,Cookies & Biscuits,Delivery / Self Pick-up,No,No,@sarahteoxbakes,sarahtyp@hotmail.com,https://sarahteoxbakes.cococart.co/Email:
21,35,Two Hands by J (Yishun/Canberra),"Pies & Tarts, Bread, Pastries, Brownies
Ex-pastry chef baking so that she doesn’t lose touch on her passion of baking.
Vegan OptionsLess sweetDelivery/Self Pick-upIG:
@twohands_byj","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Two Hands by J,Yishun/Canberra,"Pies & Tarts, Bread, Pastries, Brownies",Delivery / Self Pick-up,No,Yes,@twohands_byj,,
22,38,thebuttertale (Sembawang),"Cakes, Cupcakes, Cookies & Biscuits, Brownies
We are a home based bakery and our specialty is our brownie. Our baked goods are less sweet to accommodate to the general tastebuds. Collection methods include delivery and self pick up at canberra. Exact address will be given upon payment and confirmation. To order, click into the link in the bio of our instagram.
Less sweetDelivery/Self Pick-upWebsite:
https://linktr.ee/thebuttertaleEmail: thebuttertalesg@gmail.comIG:
@thebuttertaleFB: Thebuttertale","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",thebuttertale,Sembawang,"Cakes, Cupcakes, Cookies & Biscuits, Brownies",Delivery / Self Pick-up,No,Yes,@thebuttertale,thebuttertalesg@gmail.com,https://linktr.ee/thebuttertaleEmail:
23,40,Your Baekery (Tampines),"Cakes, Cookies & Biscuits, Chocolate Confections, Pastries, Brownies, Crinkles
Experimenting, baking, & concocting wonderful pastries in our little bakehouse.🇸🇬 Made with quality ingredients and lotsa' LOVE. Brownies and crinkles are definitely our specialty.
HalalLess sweetDelivery/Self Pick-up/MRT MeetupsWebsite:
bit.ly/yourbaekeryEmail: @yourbaekery@gmail.comIG:
@yourbaekery
","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Your Baekery,Tampines,"Cakes, Cookies & Biscuits, Chocolate Confections, Pastries, Brownies, Crinkles",Delivery / Self Pick-up,No,Yes,@yourbaekery,yourbaekery@gmail.com,
24,42,October 16 (Punggol),"Cakes, Cookies & Biscuits, Chocolate Confections, Pies & Tarts, Pastries, Festive Baked Goods - Chinese New Year
Delivery/Self Pick-up
🚚 DeliveryAbove $60 - Free$50 to $60 - $3$40 to $50 - $5Below $40 - $8🚉 CollectionPunggol MRT
Facebook: October 16Instagram: October 16Email: october.16@hotmail.com","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",October 16,Punggol,"Cakes, Cookies & Biscuits, Chocolate Confections, Pies & Tarts, Pastries, Festive Baked Goods - Chinese New Year",Delivery / Self Pick-up,No,No,@October,october.16@hotmail.com,
25,43,Fernvalebakes (Sengkang West Road),"Cakes, Cupcakes
DM to order. Delivery at $10 flat rate islandwide or self collect at Sengkang West Rd
Less sweetDelivery/Self Pick-upEmail:
Fernvalebakes@gmail.comIG: @fernvalebakes","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Fernvalebakes,Sengkang West Road,"Cakes, Cupcakes",Delivery / Self Pick-up,No,Yes,@fernvalebakes,Fernvalebakes@gmail.com,
26,45,Mdm Cheng Cookies (Bedok),"Cookies & Biscuits
Welcome to Mdm Cheng Cookies!Can't decide on Chrysanthemum Tea or Butter Cookies?Now you can have both of them at 1 time...Yes!! 2in1 ....Chrysanthemum Butter Cookies100% Made with Real ChrysanthemumNo preservatives & colorings addedFreshly baked upon order
Delivery/Self Pick-upWebsite:
https://sweetcookiebakes.cococart.co/Email:
mdmcheng.sg@gmail.comIG:
@mdmcheng.sg","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Mdm Cheng Cookies,Bedok,Cookies & Biscuits,Delivery / Self Pick-up,No,No,@mdmcheng.sg,mdmcheng.sg@gmail.com,https://sweetcookiebakes.cococart.co/Email:
27,46,Bananery Kitchen (Pasir Ris Drive 3),"Cakes
We make Banana Cakes with all natural ingredients, no artificial colouring and no preservative. Currently, we have 2 flavours; Banana Walnut Cake and the other Lavender-infused Banana Cake. Both are bake fresh!:) Chunky pieces of melt in your mouth banana with generous bits of walnut crunch. Using our own recipe, the Lavender-infused Banana Cake is a delight to the senses; the aromatic calming smell of the Lavender set you into relaxation mode after a long day. The Lavender flavour blends well with the banana cake creating a tasty, soothing, and delightful experience. The banana pieces blends with the aromatic lavender add layers to the taste buds. Local delight good for tea break and daily snack ;). Collection at Pasir Ris(Drive 3) and Delivery option is available with delivery charges depending on distance.
Less sweetDelivery/Self Pick-upEmail:
bananerykitchen@gmail.comIG:
@bananerykitchenFB:
Bananery KitchenCarousell","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Bananery Kitchen,Pasir Ris Drive 3,Cakes,Delivery / Self Pick-up,No,Yes,@bananerykitchen,bananerykitchen@gmail.com,
28,47,whi3ker3 (Boon Lay),"Pastries, Festive Baked Goods (Chinese New Year), Brownies, Traditional Desserts, puffs, tiramisu, mac & cheese
we have various bakes and makes like durian puffs (durian, custard, matcha, cempedak, chocolate bailey’s), brownies, butter and marble kek, mac & cheese. delivery options available with additional charge (depending on location) and self pick up at boon lay mrt. DM @whi3ker3 via insta for more info
Less sweetDelivery/Self Pick-upEmail:
whi3ker3@gmail.comIG:
@whi3ker3","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",whi3ker3,Boon Lay,"Pastries, Festive Baked Goods (Chinese New Year), Brownies, Traditional Desserts, puffs, tiramisu, mac & cheese",Delivery / Self Pick-up,No,Yes,@whi3ker3,whi3ker3@gmail.com,
